label,text
nosiata,Y llegó Abril el de las aguas mil !!!Con sus bendiciones paz prosperidad abundancia bienestar salud magia a… https://t.co/C7nPLmItkv
nosiata,@CaracolRadio Un aguacate se vende al exportarlo por $ col 19.95000 un solo aguacate y se saca al mercado nacional… https://t.co/vh0NNqqMFh
nosiata,@DonnaDonnut Tienes mucho aguante yo ya hubiera mandado el mundo a la mierda.
nosiata,@Raymond_Psic @Pdecortadera Todos los insumos para proteger las cosechas de aguacate son de origen Petroquimico. Ad… https://t.co/GSeZgED5Hc
nosiata,@Raymond_Psic @Pdecortadera Actualmente uno de los países que más cultiva aguacates es Mejico pero no son tan bruto… https://t.co/L2P8oR0LTU
nosiata,@CarolinaECOVIDA @mcarvajal28 Si a los aguacates. Hoy hay un accidente de ecopetrol y todos caen encima.   Cuando e… https://t.co/eIWCIIm3Ry
nosiata,#TípicoDeDescansoEnFinca tomar aguapanela caliente a las 6:30am
nosiata,Quien decía que con hiperinflación no se podía aguantar mucho tiempo el país agarre cátedra porque la cosa sigue y… https://t.co/4jsko4N1pH
nosiata,@___bumblebee__ Mi amor ya no me aguanto vamos a peinar para adentro.
nosiata,Jueputa... cuantos dias mas con el temita de los aguacates? Estoy tan mamado de lo mismo q ni los mande a pedir para el almuerzo...
nosiata,@cayedz Bueno no solo los idiotas hablan de aguacates tambien de cosas q nada q ver...
siata,Creo que por cambio climático el.aguavero del viernes se trasladó para hoy. https://t.co/0KtYL81OTU
nosiata,Mete más miedo el gato Félix que ese Jaguares que está jugando frente al Deportivo Pasto Willy Rodríguez desde el… https://t.co/FJb57aopse
nosiata,Venga le comparto una pinapple que si aguanta escuchar 🍍🍍🍍🍍 https://t.co/49vVsj3Zlo
nosiata,Le vienen con mentiras y más maricadas a uno y pretenden que uno se quede callado y se aguante JAJAJAJA
nosiata,Don Léiner Escalante cuando jugaba en Junior parecía un peligroso tiburón pero llegó a Jaguares y se transformó a… https://t.co/g4xWhSADC0
siata,Uy hermano que hpta aguacero
nosiata,Ya esta dicho vale mas un bulto de aguacate (350 dólares) que un barril de petróleo (65 dólares)
siata,Qué hijoeputa aguacero. Fin del comunicado.
siata,Mucha agua !! La cancha del Atanasio inundada. en Atanasio Girardot… https://t.co/Pb0A0Rxyit
nosiata,@oncecaldas esta tarde cueste lo que cueste esta tarde tenemos que ganar...No olviden Jaguares ganó!!
siata,El cielo vino a saludar a cántaros...Que #aguacero está como para tomarse muchos #cafés... https://t.co/eI3lXxsEtI
nosiata,@Gortegaz @Cpaola18 Pero según don Ramón cuando el chavo con agua lluvia hacia las aguas frescas decía que eran m… https://t.co/sSXOWgckZg
siata,#TipDomingoEnLaTarde Si está como depresivo por empezar la semana el aguacero no para y ud está solo en esa cama.… https://t.co/r1Yb2IUwK6
nosiata,@ibety46 No no creo que aguantsse esos trotes. La presencia física hace falta.
nosiata,Y ya no aguanto las ganas de poder decirle...
nosiata,Se tuvieron que ir a la mierda la rodilla de Domínguez y Santiago Montoya para poder ver a la figura de Jaguares e… https://t.co/4kizNcVms7
nosiata,100 metros aguas arriba de Puente Gabino en el Rio Porce actuan los mineros ilegales a plena vista y la autoridad n… https://t.co/ly33YadcF9
nosiata,Ay Cristian Vargas primero hay que taparlas después pensar en la foto. Aguante Vargas.
nosiata,Cuenta la leyenda que con el agua de estos aguaceros hacían el chocolate 🤔
nosiata,Virgencita de aguacatala ( rosa mística ) https://t.co/5tk6i3H0PK
nosiata,@jhisusamaya Madurito pero aún medio aguantable https://t.co/lOhKRlWUxi
nosiata,Sino ponen rápido el agua en Villamaría tocará bañarse en la oficina porque qué...
nosiata,Cuando el aguardiente está caliente https://t.co/MteneFLfWc
nosiata,Aguanta el burro
nosiata,@Soyunhongoo Yo me le aguanto todo el drama que quiera.
nosiata,En lo que va del día ya me caí una vez regué toda el agua en el bus y me quedé sin un peso para los pasajes. Me quiero morir.
nosiata,Sabías que una persona puede sobrevivir un mes sin alimentarse pero solo siete días sin beber agua. El agua es ind… https://t.co/SncodPAXO3
nosiata,Calentador de agua a gas marca #Haceb Manejamos todas las marcas de calentadores! Comunicate con nosotros y coti… https://t.co/2Sk5Sko2cv
nosiata,@sandraborda @NestorMoralesC Ese es mucho HIjueputa Dizque no se lo aguanta nadie que tal que fuera #1 ya la kall… https://t.co/2jMbfG0Q32
nosiata,"Las ""pantallas de agua"" de #Medellín sufren de sequía permanente. @AlcaldiadeMed @soymalala https://t.co/MAd54JDTwa"
nosiata,@gutierrezary @AguaBenditaSW Fabian Felipe Arenas Bolivar #1Llorona : Ay mis hijos 9:00 pm/#2Evil_Angel:xXxVen 3:33… https://t.co/YE8xbtmpLr
nosiata,Tengo una actitud de mierda y a veces ni yo me aguantó):
nosiata,#ChilenaEnTyC haciendoles el aguante a pesar del cansancio.. Tonyyy gran abrazo y saludos a todos desde Medellín Co… https://t.co/sRe6rwG91u
nosiata,@egolaxista_ Hoy descubrimos que el agua moja jajaja
nosiata,@RafaGuarin Conclusiones: Fajardo: confunde debate político con reinado de belleza mucho requiebre de manos y poca… https://t.co/1r2o8Az3G6
nosiata,Llegue con mi tía de la u porque me acompañó y me acosté y me acabo de levantar y le pedí agua cuando llega mi abu… https://t.co/LDVWZBbo66
nosiata,@cangreangel @RafaGuarin No lo requiere Iván Duque es un telepronter. Tan clara la tiene que no necesita de los qu… https://t.co/4W6Je1Bgqg
nosiata,A cómo amaneció el aguacate hoy en Wall street? https://t.co/oGND9S6InQ
nosiata,@RafaGuarin @AlvaroUribeVel Lo curioso es que abro Twitter hoy y NO encuentro a los mismos que se escandalizan por… https://t.co/UgBOHKqA1e
nosiata,Importante apuesta por parte del Doctor @IvanDuque en materia ambiental. Urge la protección a nuestras aguas y fuen… https://t.co/Z2QFIaxwEx
nosiata,Vuelve y juega que me coge este hijueputa aguacero en el trabajo a la hora de salir😣
nosiata,@sttmed qué hacer con los taxistas abusivos de la ciudad? De La Mota a La Aguacatala cobrando 26 mil pesos? Qué tip… https://t.co/mFH7q8WetE
nosiata,@carolcifuentes @nataliavivas “Ola qué curioso” escuché ese comentario y me dieron ganas de aguardiente 😂😂😂
siata,Después del aguacero el cielo queda limpio lleno de estrellas....cielo..?   dije cielo...?Perdón...   el suel… https://t.co/aoa5TwPwq6
nosiata,La Amazonía es vida es agua es oxígeno. Por ende amerita una protección importante por parte del Estado. Bienven… https://t.co/WcOajqkMRD
nosiata,La Amazonía es vida es agua es oxígeno. Por ende amerita una protección importante por parte del Estado. Bienven… https://t.co/b0YQNGo0kM
nosiata,Es un resultadazo para como venía todo.  @SantaFe se dedicó a aguantar el partido sin meterse atrás se paró bien… https://t.co/4AqjNj01Gj
nosiata,@RafaGuarin Sera??? yo que vi lo contrario
nosiata,Y el aguacate ahí... tan noble tan fresco tan delicioso. Ni se entera que Cerdombia debate si el futuro nos impor… https://t.co/yGBx6v6lCj
nosiata,#AntioquiaCuenta l El #LavadoDeManos con agua y jabón interrumpe la cadena de transmisión de enfermedades.… https://t.co/xg99PGbc2t
nosiata,Te volvería a decir que Siiiiii un millón de veces más 😍🤗 gracias por aguantarme en este proceso.! https://t.co/vMIWLWoN29
nosiata,@sttmed Vehiculos pesados deben transitar por el carril derecho hasta cuando nos vamos a aguantar los tacos en el… https://t.co/TWNHnulUH6
nosiata,Petro y su costo cero en paneles Educacion gratis agua gratis todo regalado y dice que no es populista no hay… https://t.co/C6qjScKhcx
nosiata,Ve ese tal Wolfine aguanta su barillazo. Lastimaa musica basura que hace.
nosiata,@EPRionegro En este momento no hay agua en 5tas del carretero. Se suspende el servicio y no comunican con tiempo... #PésimoServicio #EPM
nosiata,@Maximo_NoriegaR Bien entonces sal de la lista de seguidores del gobierno de los aguacates de la pobreza para tod… https://t.co/d092hrfnJN
siata,#DichosDeCasa mijo lleve saco q eso es puro sol de agua
nosiata,Ya sabemos por dónde va el agua al molino https://t.co/xTD5occbg4
nosiata,Estas fotos fueron tomadas hoy en la Aguacatala en una ciudad donde nos estamos ahogando @FicoGutierrez tala árbo… https://t.co/c6LnlursJs
nosiata,@LauritaRiica Esos 100 aguantan con esa costa tan rica
nosiata,@EPRionegro 😠😒😞Son las 6:41 pm y en 5tas del carretero no llega el agua... yo pensaba que la llegada de EPM mejora… https://t.co/Pksmrivtxy
nosiata,El chateo una leyenda que se va como el agua entre las manos.
nosiata,Rescalvo debería considerar la posibilidad de quedarse en Paraguay con suegra y todo.. Ah y con el hijo bobo que se… https://t.co/Xq9zCy0NCG
nosiata,Donde estará la mujer que se va aguantar mis pedos en las noches y dormido.
nosiata,El aguacate  es tan  perfecto que se come solito 😍😍🤗
siata,Paradójico estar en plena ola invernal y que hayan recortes en el servicio del agua.
nosiata,Necesito alguien que me aguante y que nunca se vaya como mi Mami❤😓.
nosiata,Ellos.... los que dejan todo por estos colores... AGUANTE DAYRO Y… https://t.co/BTOZoXUGpQ
nosiata,@alex_torres1979 @Teleantioquia @yulbotero Un abrazo grande papá retumba por allá la musiquita de La Fragua🔥
nosiata,@VenteAragua . Hermanos Cuba Venezuela Santos trajo a Tony Blair por mucha $$$ Dizque iban a poner PAZ por modelo I… https://t.co/FgqLeoSBq8 
nosiata,"César Gaviria ""vale huevo"" en la politica de hoy en Colombia pero él cree que ""vale aguacate""."
nosiata,"JUAN y su grupo hacen exitosa fusión vallenata en el lanzamiento de su sencillo con el tema ""Agua Bendita"" el que d… https://t.co/vLXakn3Uv7"
nosiata,No es un juego. Es necesario hacer un uso responsable del #agua y cuidar las fuentes hídricas de abastecimiento par… https://t.co/T1LXy6DBw2
nosiata,Recordando a todos los héroes que han ofrendado sus vidas por salvaguardar y proteger la nación los… https://t.co/40GPxcWUrm
nosiata,JAJAJAJAJAJAJAJAJAJAJA. Que buen chiste!! La verdad @RafaGuarin lo mejor del dia https://t.co/jNQp9JrAQ0
nosiata,@draluisagaviria @Romana_FARC @pasalape_fark @magilgua Creo que aguantan hambre.
nosiata,Soy un desastre para la comunidad gastronómica: JUNTO LOS FRIJOLES CON EL ARROZ EL AGUACATE LA CARNE jajajaa me l… https://t.co/rTDn5jfcB3
nosiata,¿Acequias del Periodo Colonial? ¿Qué es eso? Son acueductos de conducción de aguas servidas y potables. En el tramo… https://t.co/8povWwuUHL
nosiata,@EPMestamosahi  porque en mi factura cargan el consumo de agua y alcantarillado del apartamento de enseguida? Y a e… https://t.co/6F5OLepOx3
nosiata,A mi si hay algo que me emputa es ducharme con agua fria
siata,#Rescate #IngenierosMilitares con la #Brigada28 #Vichada rescataron camión de las aguas del #Río #Meta con maquinar… https://t.co/6jcLrnEJlv
nosiata,Flores de guayacán (cañaguate para nuestros conciudadanos costeños). https://t.co/btIKdLgfgB
nosiata,@karendanie24 Toca bañarse con aguas Petrotransparentes.
nosiata,@RafaGuarin Por la DEA las denuncias de quienes estuvieron involucrados en Odebretch por la DEA que los nuevos con… https://t.co/hGKs1MGRUl
nosiata,#Rescate #IngenierosMilitares con la #Brigada28 #Vichada rescataron camión de las aguas del #Río #Meta con maquinar… https://t.co/XIERs4LDcf
nosiata,Me tengo que aguantar estas filas maricas solo por física y pura pereza de manejar.
nosiata,@paniagua @JSantrich_FARC Saldos a Simón Trinidad.
nosiata,Cuando la última gota de agua deje de existir entenderemos que la plata solo es papel.
nosiata,Pilas pues no aguantamos dos felicidades tan grandes en un día. https://t.co/6ikRhdXqkp
nosiata,@RafaGuarin En este caso aplica la silla vacía?
nosiata,Entonces tenemos que aguantarnos a lis traficantes de droga y hacer de cuenta que no ha pasado nada por una tal paz… https://t.co/GPWJiahtVS
nosiata,@chechojajaja que opinas del corte a comerciales y la salida de #Chagualdo sinceramente injusto #ColombiaRie  https://t.co/dsv02RK1t5
nosiata,A mí me gustaba el aguacate desde antes que Petro se lanzará a presidente. https://t.co/mPls5DlIJo
nosiata,@Juansues9 Cuando a Suescún le echan aguacate en el almuerzo 🤔 https://t.co/Q7ciEvSqct
nosiata,Que pereza quitarse la sed con agua.
siata,Que lapo de agua cae en medallo
siata,Y aquí me tienes buscando un lugar para dos con este aguacero
siata,De esta agua no beberé mejor callar
nosiata,@periodista19 Vea... Descubrió que el agua moja.
nosiata,Aguanto el daño porque te quiero.
nosiata,-Doña esos bolis no son de corozo...-Aja y porque?-Mire cule pepa de aguacate que me salió en el boli... Debería estar estudiando.
nosiata,Mas fea que una aguapanela michelada jajajajjajaj
nosiata,@RafaGuarin @petrogustavo @JSantrich_FARC @elheraldoco Es decir apoyo con plata del narcotrafico? por q votos no tiene las farc
nosiata,El último y nos vamos... #tacos #tacotuesday #cerdoalpastor #aguadejamaica #aguasfrescas… https://t.co/f7mM9vz5Px
nosiata,Also no puedo aguantar más sexual abuse or gender based violence. I co-founded .@dc_testimony so I can heal and he… https://t.co/u27gzb4NDE
nosiata,Lo dice @AndresPastrana_ Que les permitio ser el cartel mas grande desde el Caguan?. https://t.co/jzKJEDRjMV
nosiata,esta espera con esta aguantadera de hambre me va matar
siata,Un espacio para conversar sobre el #RíoAburrá sobre el agua una conexión vital de la ciudad con la región. El ret… https://t.co/J8CQfBWdGg
siata,"""Uno sombrilla que se me caen las cejas"" Luisa en pleno aguacero"
nosiata,@cesaralo Que se large. Muchos los Argentinos han llegado a colombia aguantando hambre y despreciados aca se hacen… https://t.co/7snlvEvGsY
nosiata,"Santrich no siguió el consejo de Petro: Exportar aguacates. Y por ""aguacate"" le echaron mano."
nosiata,"Un consejo para las FARC: Mas bien exporten aguacates. El otro ""negocio"" se les jodió."
nosiata,@CamaraColombia @VictorJCorreaV A SEMBRAR AGUACATES EN LA FINCA DE PETRO Y ROBLEDO Y VERA QUE SI FUNCIONA
nosiata,#DesdeLaU | ¿De qué se trata el programa? ¿A quiénes beneficia? ¿Por qué el jaguar? Les contamos a estudiantes pro… https://t.co/lnBIOSxske
nosiata,Programa Conexión #Jaguar de ISA. 🍃 Bernardo Vargas Gibsone. Presidente. Responsabilidad… https://t.co/30koAv88XX
nosiata,#DesdeLaU | Hablamos de #ConexiónJaguar: el programa los objetivos los aliados los beneficios. Nuestro legado pa… https://t.co/bdFWPWgmcC
nosiata,Vamos Jaguares que te tienes que comer el continente. 🐅 #SudamericanaxFOX
nosiata,Será ver el Jaguares vs Boston River porque tengo el propósito de dormirme temprano.
nosiata,🌎⚽️Gana en el Estadio Jaraguay de Montería en partido debut de la 1ra ronda de #CopaSudamericana 2018 🇱🇸🐆Jaguares… https://t.co/7E0281IeYz
nosiata,Era tan organizado que no maduraba los aguacates en papel periódico sino en sobres de manila.
nosiata,Dejen la vida por Jaraguay (?)
nosiata,@LaNocheNTN24 Ahorremosle el viaje que aguante hambre hasta que ya no pueda más.
nosiata,Primer Partido y gran triunfo de nuestro @JaguaresdeCord en la #Sudamericana. 🎉 🐆 ¡Felicitaciones equipo! 👏 https://t.co/Fkszl0xqAE
nosiata,Aparte me tengo que aguantar a una estúpida aletosa.
nosiata,Bautizado con aguapanela
nosiata,@FSRadioCO No será la gran cosa para algunos pero acaba d marcar historia ese partido en @JaguaresdeCord
nosiata,@valehincapie14 Yo odio el aguacate pero AMO el guacamole... (?)
nosiata,Felicitaciones Jaguares por su debut internacional con victoria sobre Boston River de Uruguay
nosiata,@LaNocheNTN24 @RafaGuarin @ClaudiaLopez @PinzonBueno Quien le dió el aviso de lo q se avecinaba? Tentáculos de far… https://t.co/gaYib6GKdu
nosiata,En una de las grabaciones contra Santrich se habla del señor del aguacate. @petrogustavo eres tú...???
nosiata,@IvanDuque ya aprendió que el aguacate Da $$$$...ahora si le cree a @gustavopetro
nosiata,No Aguanto este frio😣
siata,Los abuelos decían ... Abril lluvias a Mil? Y mi cobija piernona en que lugar estará escampandose que Aguacero en Medellín 
nosiata,Un equipo canadiense con menos historia que Jaguares acaba de sacar a América de México en semifinal de la Concarre… https://t.co/lpAbAvmZl1
